         47711 function calls (42311 primitive calls) in 2.624 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      136    0.001    0.000    0.001    0.000 __init__.py:1544(isEnabledFor)
      136    0.001    0.000    0.001    0.000 {built-in method posix.getpid}
       68    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       34    0.000    0.000    0.010    0.000 utils.py:27(send_json_to_player)
       63    0.000    0.000    0.001    0.000 Game.py:219(<listcomp>)
      136    0.000    0.000    0.001    0.000 threading.py:1230(current_thread)
      408    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      136    0.000    0.000    0.016    0.000 __init__.py:1063(emit)
       34    0.000    0.000    0.000    0.000 decoder.py:345(raw_decode)
       34    0.000    0.000    2.490    0.073 protocol.py:15(receive_json)
      136    0.000    0.000    0.001    0.000 __init__.py:120(getLevelName)
      136    0.000    0.000    0.001    0.000 __init__.py:157(<lambda>)
       58    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      408    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       34    0.000    0.000    0.001    0.000 decoder.py:334(decode)
       34    0.000    0.000    0.001    0.000 __init__.py:244(detect_encoding)
      544    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      437    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       34    0.000    0.000    0.004    0.000 protocol.py:23(send_json)
      272    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       35    0.000    0.000    0.000    0.000 Player.py:87(<listcomp>)
       92    0.000    0.000    0.000    0.000 Character.py:19(__repr__)
       28    0.000    0.000    0.000    0.000 Player.py:79(<listcomp>)
      136    0.000    0.000    0.000    0.000 threading.py:1076(name)
      136    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      136    0.000    0.000    0.000    0.000 __init__.py:1530(getEffectiveLevel)
      136    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        9    0.000    0.000    0.001    0.000 Game.py:204(__repr__)
       34    0.000    0.000    2.504    0.074 utils.py:40(ask_question_json)
      136    0.000    0.000    0.000    0.000 {built-in method time.time}
      272    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       15    0.000    0.000    0.021    0.001 __init__.py:1286(debug)
      102    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      342    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       34    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      285    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       34    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        3    0.000    0.000    0.002    0.001 Game.py:147(fantom_scream)
       63    0.000    0.000    0.000    0.000 Game.py:221(<listcomp>)
        9    0.000    0.000    0.000    0.000 Game.py:209(<listcomp>)
       28    0.000    0.000    0.000    0.000 Player.py:74(get_adjacent_positions)
       15    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
        3    0.000    0.000    2.620    0.873 Game.py:167(tour)
       35    0.000    0.000    0.000    0.000 Player.py:82(get_adjacent_positions_from_position)
       30    0.000    0.000    0.000    0.000 Game.py:149(<setcomp>)
        3    0.000    0.000    2.608    0.869 Game.py:120(actions)
       34    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      136    0.000    0.000    0.000    0.000 codecs.py:213(setstate)
       15    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    2.623    2.623 Game.py:180(lancer)
      146    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       40    0.000    0.000    0.000    0.000 random.py:223(_randbelow)
        1    0.000    0.000    0.001    0.001 Game.py:29(__init__)
        3    0.000    0.000    0.000    0.000 Game.py:149(<listcomp>)
       12    0.000    0.000    0.000    0.000 Player.py:333(<listcomp>)
       68    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 socket.py:409(_real_close)
       12    0.000    0.000    0.000    0.000 Player.py:49(<listcomp>)
        4    0.000    0.000    0.000    0.000 random.py:263(shuffle)
       77    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       10    0.000    0.000    0.000    0.000 random.py:255(choice)
        3    0.000    0.000    0.000    0.000 Game.py:165(<listcomp>)
        9    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 Game.py:187(<listcomp>)
        8    0.000    0.000    0.000    0.000 Character.py:13(__init__)
       40    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 socket.py:413(close)
        1    0.000    0.000    0.000    0.000 Game.py:37(<setcomp>)
        1    0.000    0.000    0.000    0.000 Player.py:180(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 Player.py:250(<listcomp>)
        1    0.000    0.000    0.000    0.000 Game.py:103(<listcomp>)
        1    0.000    0.000    0.000    0.000 Player.py:184(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 Game.py:99(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.000    0.000 Player.py:278(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 Game.py:105(<listcomp>)


