         48233 function calls (42833 primitive calls) in 2.805 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    2.788    0.929 Game.py:120(actions)
        3    0.000    0.000    2.801    0.934 Game.py:167(tour)
       30    0.000    0.000    0.000    0.000 Game.py:149(<setcomp>)
       20    0.000    0.000    0.000    0.000 Player.py:74(get_adjacent_positions)
      141    0.000    0.000    0.000    0.000 codecs.py:213(setstate)
       36    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       15    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
       41    0.000    0.000    0.000    0.000 random.py:223(_randbelow)
       12    0.000    0.000    0.000    0.000 Player.py:333(<listcomp>)
        1    0.000    0.000    2.804    2.804 Game.py:180(lancer)
        3    0.000    0.000    0.000    0.000 Game.py:149(<listcomp>)
       22    0.000    0.000    0.000    0.000 Player.py:82(get_adjacent_positions_from_position)
        4    0.000    0.000    0.000    0.000 random.py:263(shuffle)
        1    0.000    0.000    0.001    0.001 Game.py:29(__init__)
       72    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
       93    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 socket.py:409(_real_close)
       12    0.000    0.000    0.000    0.000 Player.py:49(<listcomp>)
       11    0.000    0.000    0.000    0.000 random.py:255(choice)
       69    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        9    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 Player.py:180(<listcomp>)
        3    0.000    0.000    0.000    0.000 Game.py:165(<listcomp>)
        2    0.000    0.000    0.000    0.000 Player.py:250(<listcomp>)
       41    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 socket.py:413(close)
        1    0.000    0.000    0.000    0.000 Player.py:218(<listcomp>)
        3    0.000    0.000    0.000    0.000 Game.py:187(<listcomp>)
        1    0.000    0.000    0.000    0.000 Game.py:37(<setcomp>)
        2    0.000    0.000    0.000    0.000 Player.py:184(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        2    0.000    0.000    0.000    0.000 Player.py:278(<listcomp>)
        8    0.000    0.000    0.000    0.000 Character.py:13(__init__)
        1    0.000    0.000    0.000    0.000 Player.py:223(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 Game.py:99(<listcomp>)
        1    0.000    0.000    0.000    0.000 Game.py:103(<listcomp>)
        1    0.000    0.000    0.000    0.000 Game.py:105(<listcomp>)


